"lambda","lam.ci.l","lam.ci.u","loglik","rho1","rho2","rho3","rho4"
0,0,7,-36.3990236323088,151.604762857573,152.954615901243,153.555761002193,154.550963448843
3,0,12,124.324487334648,152.455143801839,152.225849027262,154.463829522004,152.578749885133
3,0,14,63.254566722497,154.607623530896,154.774608369119,155.181834218846,155.493335373095
2,0,9,109.004212366623,152.99076005379,154.093739500831,155.636391741739,153.713725752948
0,0,11,62.1554566316912,153.132044410385,154.278936952874,154.370881576667,156.243294451189
2,0,12,-21.5483426595151,151.486453083498,152.994535820104,154.39012310698,155.189394669763
1,0,8,63.1343685038863,152.487991421298,153.253708439761,154.510675643271,153.954016366538
0,0,8,-107.688566852147,153.761401973373,150.02872359448,153.938964740211,154.299421354724
1,0,8,-249.525667392459,153.118207474742,152.386976823821,154.147653131998,152.949199668998
0,0,8,-100.157579086269,152.833505898712,152.105979197263,152.918612756606,151.559238987311
4,0,19,358.567922695186,152.901977309837,152.099725033361,154.417122358658,153.887640527889
1,0,8,-101.866484365171,153.019379897501,151.114533493603,151.146480444364,154.135712924389
1,0,9,132.17541237927,149.414923151078,152.023105555259,153.405310691527,154.130344398886
2,0,11,-58.7429367259079,151.193293901747,151.949461162387,153.507988499136,151.694811382555
2,0,9,-247.211340181068,151.645169342283,152.709683470902,155.116581558353,153.497412814981
2,0,10,-23.5205799174117,151.800719978599,153.29086508666,154.436184484152,154.732809880813
1,0,9,-297.431716000523,146.572363097115,150.971416567557,153.577020145866,153.408210458918
1,0,8,37.0273690998498,152.202914111791,152.704896248356,153.819051567042,152.352763616727
2,0,10,162.786823913539,152.065635980275,154.337825150608,155.985524347477,153.388517277225
0,0,7,-112.048294829699,153.748667117659,152.650383084098,153.623526754324,154.769398102384
2,0,13,78.7765655527819,153.434737016941,152.184137233295,154.237321491821,153.579509160435
2,0,11,29.0529591292359,153.40881066983,155.589686934641,155.883008537953,153.893651018054
0,0,10,119.642399402437,152.046707654166,151.56267135627,153.056663203819,154.103271062616
2,0,16,236.736618111289,153.445908164606,153.836480906282,155.126320126461,153.640903926624
0,0,9,248.144196472629,153.364621800955,153.997924687069,154.923863643492,154.704081499747
0,0,13,197.689307902563,152.483307743656,150.505262969066,153.052402015599,154.234983222599
0,0,6,-260.382779142461,154.542431892816,153.613993804253,155.52771791026,154.178145726244
2,0,21,318.232974740432,152.063811742868,153.765728430556,155.157919509369,154.080537011796
0,0,8,105.514170800628,150.348793534165,154.584268692508,151.880954472554,151.988656027858
1,0,10,95.3780938064156,154.036414209406,154.862074995105,155.16028475928,154.068766514252
0,0,9,-484.221460283323,151.981678139155,153.714451453859,155.271366829165,152.768122643906
2,0,10,15.2258767971602,153.911402710392,151.273944988444,154.592753074821,156.054741979648
0,0,6,-19.3885790870939,153.560434602413,152.807924844213,156.306661308765,154.686909827431
0,0,9,100.462466848785,151.735277703507,152.704359430317,153.541650962234,155.062385521905
1,0,10,72.275311260216,151.823559419863,153.065659038379,153.425053818211,154.304190218195
1,0,6,-160.840650830457,153.48983220514,153.20056875976,154.591903747455,151.793014272439
2,0,12,-12.3542533876117,150.65487299354,149.171782738674,150.912752958369,153.387812517569
0,0,8,-130.73626101692,155.579751348648,153.434102148965,154.326920175008,154.170414790888
3,0,13,-145.985643905999,150.881432634227,152.793927470106,155.770399836296,154.591334406268
0,0,12,366.454613636657,152.961897241308,150.320904948556,153.171572874572,154.210484734802
1,0,9,-1.03987255764345,152.627789258371,152.21518871958,153.225447656769,154.617595348363
0,0,6,-193.557546533295,153.19098916193,153.438697128404,154.24355096684,155.277250402778
2,0,11,116.626866743973,150.387446445485,153.837862156661,154.197454617944,153.913767711107
0,0,9,-264.23426487072,149.12909674064,151.854371524053,152.211024996716,151.598283995665
0,0,9,-10.0363580311171,154.819903719101,152.582961157056,154.547959932435,154.22142035384
1,0,9,114.682267334004,151.929556939566,154.340137175722,154.003656115178,155.906722761404
1,0,7,-95.3020847266682,153.44822740866,155.36685654308,157.558820036248,154.575766220398
2,0,11,-202.01367815355,150.418270853701,153.336148130298,156.30285921597,153.593798212625
1,0,9,8.26661114635959,153.132379680133,152.778176168735,155.831626066997,154.901915638267
2,0,10,117.577675553782,151.39641251778,152.313963557691,153.165910856265,153.185181241675
0,0,9,-276.321578138812,149.773030973204,151.811185708155,153.124035243766,155.404573429483
1,0,9,213.18252967535,152.52213917715,151.384097990303,154.922509149638,154.716263062239
2,0,9,146.322797723088,152.338391442025,153.433726189078,155.872387419006,154.471503279584
0,0,8,197.37535630146,153.906293921401,150.09562627788,154.284303645888,154.111177773846
0,0,6,-37.0838957661876,153.701022666617,153.24740254843,157.129305702693,153.453823191878
2,0,14,319.763353709109,151.566024843727,153.764968290123,155.09858108558,154.202367754798
2,0,9,-318.682268796355,152.025637532574,152.235186092785,155.10295645429,151.473281070693
1,0,7,-109.047079506963,154.536084624425,151.649525412212,155.749023643717,155.3079717173
2,0,10,-813.029725085167,153.02021147048,153.061696797294,154.811899750565,154.121779271892
3,0,12,31.5865021117931,152.269048689416,153.47409141163,155.219741930672,156.659152879299
1,0,9,-2.48576363244743,152.970436008276,151.181338055811,152.851417579356,152.585580320733
0,0,9,-21.7954072433273,151.946970775253,151.607476273842,152.537417850941,152.403469743233
3,0,11,273.738685408187,152.932759025053,154.199955371079,157.657552391488,154.587880989386
0,0,9,163.52715968057,152.451285467922,152.784715103236,152.421988146323,152.899158121368
1,0,8,-363.867652220988,149.070888707641,154.266626554795,155.836576248771,153.42410998163
2,0,14,-295.959643471687,153.288779876748,151.575654257522,155.77409804537,154.827062334813
1,0,9,-163.004160472828,150.89631765137,152.18119335318,155.893474612792,154.651994329485
0,0,8,8.92107665881595,151.762948173655,151.817937147671,156.461205194676,153.437144428414
2,0,9,87.2008657117457,152.435896012229,152.730762765749,151.943357929997,153.662992096741
0,0,7,106.292041884796,153.355149746131,154.588907325064,155.170048892324,152.790101615912
2,0,15,-62.4535601253363,152.778727471807,152.348506983401,154.729641292331,155.371543988041
0,0,8,53.5545985804955,154.346025468248,153.956699841581,154.6067827712,153.99968290495
1,0,7,7.72988448876757,149.883689370209,151.704779045216,154.064144865439,152.464445668677
2,0,11,212.449035570301,153.412982734743,152.691724149438,155.65214773042,153.903295263142
2,0,10,8.62632568736908,153.814982368074,153.321610910043,156.051001673365,154.559754939218
