"model","lambda","lam.ci.l","lam.ci.u","loglik","rho1","rho2","rho3","rho4"
"N",0,NA,NA,-350.669075633732,148.327744017521,150.131976004911,154.612232575321,154.266851747934
"N",0,NA,NA,425.595047425577,153.555982427012,154.922347457678,151.903550876838,152.29608890421
"N",0,NA,NA,54.2288167318759,153.894764831136,154.263419246116,153.726790439574,154.533412291765
"N",0,NA,NA,-72.4941994287735,152.932888264198,154.734080585472,154.831105609371,154.692721089871
"N",0,NA,NA,-58.4399129497151,152.089806050104,154.748250464749,153.890178765889,155.830861959203
"N",0,NA,NA,300.825109671018,153.329096255972,152.106018206187,154.161637578472,153.739659873402
"N",0,NA,NA,208.43565367382,152.850025313613,152.764261682796,153.91624240063,155.426158589705
"N",0,NA,NA,266.824201581318,152.714793551941,153.992507723258,153.123018390898,154.489119345375
"N",0,NA,NA,55.2633398897238,153.667974242382,151.821771603218,154.766628823803,154.153492878787
"N",0,NA,NA,183.599380424501,153.175700036082,154.083004619121,154.325399069162,154.888859125809
"N",0,NA,NA,132.292842545124,153.53911270268,151.825777950863,155.255763400081,153.915682840792
"N",0,NA,NA,82.8167517042488,150.458908274624,151.541450662403,154.155471570895,152.984605923712
"N",0,NA,NA,118.043126481155,155.038016679247,153.847940598667,154.736455946926,153.721520318096
"N",0,NA,NA,303.746766637671,153.839930836367,151.44982118848,153.681575626512,154.741084181479
"N",0,NA,NA,463.013709414432,154.533071817433,154.025988795391,157.173551372683,157.553034704183
"N",0,NA,NA,106.602641393455,152.871769204626,151.95178536213,153.35634556686,153.674185244694
"N",0,NA,NA,24.972967685793,153.820711149542,154.644943203489,157.800605020687,158.449662169239
"N",0,NA,NA,203.646721526545,151.611727061154,153.398969425785,155.16749963971,156.336117789966
"N",0,NA,NA,371.416859762358,152.869738993395,153.165361405257,153.658063355191,154.543162316966
"Eb",29,25,35,156.911736974723,150.562860677035,151.912345611185,153.621876531162,153.117031421139
"N",0,NA,NA,253.186023225273,153.354297913555,154.054458459943,153.521454822533,155.051733041643
"N",0,NA,NA,216.471331556915,155.617997106423,154.332103316591,157.145933172815,154.383862501714
